"artist","album","genre","primary","score","date","author","role"
"Stephen Steinbrink","Utopia Teased","Rock","Rock",7.3,2018-12-07,"Madison Bloom","Associate Staff Writer"
"Bill Callahan","Live at Third Man Records","Rock","Rock",7.4,2018-12-06,"Sam Sodomsky","Associate Staff Writer"
"Kodie Shane","Young HeartThrob","Rap","Rap",7.8,2018-12-06,"Larry Fitzmaurice","Contributor"
"Chris Corsano, Bill Orcutt","Brace Up!","Jazz,Experimental","Jazz",8,2018-12-06,"Grayson Haver Currin","Contributor"
"Zubin","Heavy Down Pour EP","Rap","Rap",6.9,2018-12-06,"Duncan Cooper","Contributor"
"David Bowie","Glastonbury 2000","Rock","Rock",7,2018-12-05,"Sean T. Collins","Contributor"
"The Good, the Bad & the Queen","Merrie Land","Rock","Rock",7.5,2018-12-05,"Madison Bloom","Associate Staff Writer"
"Waajeed","From the Dirt","Electronic","Electronic",7.4,2018-12-05,"Ben Cardew","Contributor"
"The Samps","Breakfast","Electronic","Electronic",7.3,2018-12-05,"Philip Sherburne","Contributing Editor"
"Meek Mill","Championships","Rap","Rap",7.7,2018-12-04,"Evan Rytlewski","Contributor"
"Iron Maiden","Iron Maiden","Metal","Metal",7,2018-12-04,"Andy O'Connor","Contributor"
"Dipset","Diplomatic Ties","Rap","Rap",4,2018-12-04,"Ian Cohen","Contributor"
"Kirk Knight","IIWII (It Is What It Is)","Rap","Rap",5.7,2018-12-04,"Trey Alston","Associate Staff Writer"
"Jeff Tweedy","WARM","Rock","Rock",8.3,2018-12-03,"Sam Sodomsky","Associate Staff Writer"
"6ix9ine","DUMMY BOY","Rap","Rap",3.4,2018-12-03,"Alphonse Pierre","Staff Writer "
"Jon Spencer","Spencer Sings the Hits!","Rock","Rock",7.3,2018-12-03,"Stuart Berman","Contributor"
"didi","Like Memory Foam","Rock","Rock",7.1,2018-12-03,"Sasha Geffen","Contributor"
"Daft Punk","Homework","Electronic","Electronic",9.2,2018-12-02,"Larry Fitzmaurice","Contributor"
"Neil Young","Songs for Judy","Rock","Rock",8,2018-12-01,"Jesse Jarnow","Contributor"
"Tommy Genesis ","Tommy Genesis","Rap","Rap",7.3,2018-12-01,"Eric Torres","Web Producer"
"Bauhaus","The Bela Session","Rock","Rock",7.9,2018-12-01,"Philip Sherburne","Contributing Editor"
"BEAST","Ens","Electronic","Electronic",6.8,2018-12-01,"Piotr Orlov","Contributor"
"Earl Sweatshirt","Some Rap Songs","Rap","Rap",8.8,2018-11-30,"Timmhotep Aku","Senior Editor"
"Wolfgang Tillmans, Powell","Spoken By the Other EP","Experimental,Electronic","Experimental",6.8,2018-11-30,"Steven Arroyo","Contributor"
"Hprizm","Magnetic Memory","Rap","Rap",7.7,2018-11-30,"Phillip Mlynar","Contributor"
"Joseph Shabason","Anne","Jazz","Jazz",7.8,2018-11-30,"Miles Bowe","Contributor"
"The 1975","A Brief Inquiry Into Online Relationships","Rock","Rock",8.5,2018-11-29,"Ryan Dombal","Senior Editor"
"Rainer Maria","Look Now Look Again","Rock","Rock",8.3,2018-11-29,"Jenn Pelly","Contributing Editor"
