"artist","album","genre","primary","score","date","author","role"
"Paul de Jong","IF","Experimental","Experimental",7.2,2015-04-28,"Nina Corcoran","Contributor"
"Blur","The Magic Whip","Rock","Rock",7,2015-04-28,"Craig Jenkins","Contributor"
"Sasha Go Hard","Nutty World 2","Rap","Rap",6.9,2015-04-27,"B. David Zarley","Contributor"
"Samo Sound Boy","Begging Please","Electronic","Electronic",7.5,2015-04-27,"Jonah Bromwich","Contributor"
"Bill Fay","Who Is the Sender?","Folk/Country","Folk/Country",7.4,2015-04-27,"Grayson Haver Currin","Contributor"
"Colin Stetson, Sarah Neufeld","Never Were the Way She Was","Experimental","Experimental",7.7,2015-04-27,"Jayson Greene","Contributing Editor"
"Ryan Adams","Live at Carnegie Hall","Rock","Rock",7.3,2015-04-27,"Ian Cohen","Contributor"
"Mavis Staples","Your Good Fortune EP","Pop/R&B","Pop/R&B",6.8,2015-04-24,"Stephen M. Deusner","Contributor"
"Beauty Pill","Beauty Pill Describes Things As They Are","Metal","Metal",7.5,2015-04-24,"Jason Heller","Contributor"
"Jeremiah Jae, L'Orange","The Night Took Us in Like Family","Rap","Rap",7.1,2015-04-24,"Anupa Mistry","Contributor"
"Sheer Mag","II EP","Rock","Rock",8.1,2015-04-24,"Jenn Pelly","Contributing Editor"
"Young Thug","Barter 6","Rap","Rap",8.4,2015-04-24,"Meaghan Garvey","Contributor"
"Chaos Echoes","Transient","Metal","Metal",6.1,2015-04-23,"Andy O'Connor","Contributor"
"Roach Gigz","The Float","Rap","Rap",6.8,2015-04-23,"Winston Cook-Wilson","Contributor"
"Death","N.E.W.","Rock","Rock",6.3,2015-04-23,"Evan Minsker","Deputy News Editor"
"Alabama Shakes","Sound & Color","Rock","Rock",8.1,2015-04-23,"Ryan Dombal","Senior Editor"
"Tei Shi","Verde EP","Pop/R&B","Pop/R&B",7,2015-04-22,"Minna Zhou","Contributor"
"Red Death","Permanent Exile","Metal","Metal",7.5,2015-04-22,"Jes Skolnik","Contributor"
"Calexico","Edge of the Sun","Rock","Rock",7.6,2015-04-22,"Stephen M. Deusner","Contributor"
"Various Artists","Sherwood at the Controls, Vol. 1: 1979-1984","","",8,2015-04-22,"Jonathan Zwickel","Contributor"
"Passion Pit","Kindred","Pop/R&B","Pop/R&B",6.8,2015-04-22,"Jamieson Cox","Contributor"
"Abyss","Heretical Anatomy","Metal","Metal",7.5,2015-04-21,"Andy O'Connor","Contributor"
"Tribulation","The Children of the Night","Metal","Metal",8.4,2015-04-21,"Grayson Haver Currin","Contributor"
"Johnny Jewel","Lost River OST","Electronic","Electronic",7,2015-04-21,"Nick Neyland","Contributor"
"Wire","Wire","Rock","Rock",7,2015-04-21,"Ned Raggett","Contributor"
"Built to Spill","Untethered Moon","Rock","Rock",7.1,2015-04-21,"Jayson Greene","Contributing Editor"
"The Breathing Effect","Mars Is a Very Bad Place For Love","Jazz","Jazz",7.9,2015-04-20,"Marcus J. Moore","Contributor"
"Girl Band","The Early Years EP","Rock","Rock",7.2,2015-04-20,"Stuart Berman","Contributor"
"San Fermin","Jackrabbit","Rock","Rock",5.2,2015-04-20,"Ian Cohen","Contributor"
"Squarepusher","Damogen Furies","Electronic","Electronic",7.3,2015-04-20,"Winston Cook-Wilson","Contributor"
"Speedy Ortiz","Foil Deer","Rock","Rock",7.9,2015-04-20,"Jillian Mapes","Senior Editor"
"Great Lake Swimmers","A Forest of Arms","Rock","Rock",5.4,2015-04-17,"Joel Oliphint","Contributor"
"Various Artists","The Alchemist and Oh No Present: Welcome to Los Santos","","",6.9,2015-04-17,"Clayton Purdom","Contributor"
"Marina and the Diamonds","Froot","Rock","Rock",7.5,2015-04-17,"Safy-Hallan Farah","Contributor"
"KMD","Black Bastards","Rap","Rap",8.4,2015-04-17,"kris ex","Contributor"
"Tyler, the Creator","Cherry Bomb","Rap","Rap",6.7,2015-04-17,"Matthew Ramirez","Contributor"
"Kathryn Calder","Kathryn Calder","Rock","Rock",6.8,2015-04-16,"Evan Rytlewski","Contributor"
"Low Jack","Sewing Machine","Electronic","Electronic",7.4,2015-04-16,"Philip Sherburne","Contributing Editor"
"This Is the Kit","Bashed Out","Folk/Country","Folk/Country",7.2,2015-04-16,"Stephen M. Deusner","Contributor"
"Tori Amos","Little Earthquakes","Rock","Rock",8.6,2015-04-16,"Barry Walters","Contributor"
"Oneohtrix Point Never","Commissions II","Experimental","Experimental",8,2015-04-16,"Andy Beta","Contributor"
"Trickfinger","Trickfinger","Electronic","Electronic",5.9,2015-04-15,"Colin Joyce","Contributor"
"Ava Luna","Infinite House","Rock","Rock",7.6,2015-04-15,"Tess Duncan","Contributor"
"Pale Blue","The Past We Leave Behind","Electronic","Electronic",6.9,2015-04-15,"Philip Sherburne","Contributing Editor"
"M.C. Schmidt","Batu Malablab: Suite for Prepared Piano, Flute and Electronics","Experimental","Experimental",7.8,2015-04-15,"Raymond Cummings","Contributor"
"Sonic Youth","Bad Moon Rising","Rock","Rock",8.1,2015-04-15,"Zoe Camp","Contributor"
"Sam Cohen","Cool It","Rock","Rock",6.1,2015-04-14,"Joel Oliphint","Contributor"
"Tal National","Zoy Zoy","Rock","Rock",7.2,2015-04-14,"Minna Zhou","Contributor"
"Matt & Kim","New Glow","Rock","Rock",4.6,2015-04-14,"Evan Rytlewski","Contributor"
"Delia Gonzalez","In Remembrance","Electronic","Electronic",6.3,2015-04-14,"Philip Sherburne","Contributing Editor"
"The-Dream","Crown EP","Pop/R&B","Pop/R&B",6.4,2015-04-14,"David Drake","Contributor"
"Villagers","Darling Arithmetic","Rock","Rock",7,2015-04-13,"T. Cole Rachel","Contributor"
"Rome Fortune, CEEJ","loloU","Rap","Rap",6.2,2015-04-13,"Sheldon Pearce","Contributing Writer"
"Obnox","Know America","Rock","Rock",7.9,2015-04-13,"Jes Skolnik","Contributor"
"Mac McCaughan","Non-Believers","Rock","Rock",7.5,2015-04-13,"Stuart Berman","Contributor"
"iLoveMakonnen","Drink More Water 5","Rap","Rap",6.7,2015-04-13,"Jamieson Cox","Contributor"
"East India Youth","Culture of Volume","Electronic","Electronic",5.7,2015-04-10,"Ian Cohen","Contributor"
"Suuns and Jerusalem in My Heart","Suuns and Jerusalem in My Heart","","",7.2,2015-04-10,"Stuart Berman","Contributor"
"Nils Frahm","Solo","Electronic","Electronic",7.3,2015-04-10,"Mark Richardson","Contributor"
"Curren$y","Pilot Talk III","Rap","Rap",7.9,2015-04-10,"Julian Kimble","Contributor"
"Scharpling & Wurster","The Best of the Best Show","Folk/Country","Folk/Country",8.8,2015-04-10,"Nate Patrin","Contributor"
"The Wombats","Glitterbug","Rock","Rock",5.7,2015-04-09,"Pat Healy","Contributor"
"Doldrums","The Air Conditioned Nightmare","Rock","Rock",5.4,2015-04-09,"Patric Fallon","Contributor"
"Brian Wilson","No Pier Pressure","Rock","Rock",5.6,2015-04-09,"Stacey Anderson","Senior Editor"
"Fred Thomas","All Are Saved","Rock","Rock",8,2015-04-09,"Ian Cohen","Contributor"
"Young Fathers","White Men Are Black Men Too","Rap","Rap",6.8,2015-04-09,"Jia Tolentino","Contributor"
"Anna Caragnano & Donato Dozzy","Sintetizzatrice","","",7.2,2015-04-08,"Andy Beta","Contributor"
"Broken Water","Wrought","Rock","Rock",7.5,2015-04-08,"Liz Pelly","Contributor"
"Royal Thunder","Crooked Doors","Rock","Rock",5.9,2015-04-08,"Zoe Camp","Contributor"
"Sicko Mobb","Super Saiyan Vol. 2","Rap","Rap",7.9,2015-04-08,"Meaghan Garvey","Contributor"
"Waxahatchee","Ivy Tripp","Rock","Rock",8.1,2015-04-08,"Brandon Stosuy","Contributor"
"Shlohmo","Dark Red","Electronic","Electronic",5.9,2015-04-07,"Jonah Bromwich","Contributor"
"Say Lou Lou","Lucid Dreaming","Rock","Rock",5.8,2015-04-07,"Katherine St. Asaph","Contributor"
"Colleen","Captain of None","Electronic","Electronic",7.6,2015-04-07,"Matthew Murphy","Contributor"
"GABI","Sympathy","Experimental","Experimental",8,2015-04-07,"Philip Sherburne","Contributing Editor"
"Toro y Moi","What For?","Electronic","Electronic",6.6,2015-04-07,"Ian Cohen","Contributor"
"Marching Church","This World Is Not Enough","Rock","Rock",5.6,2015-04-06,"Zach Kelly","Contributor"
"Lapalux","Lustmore","Electronic","Electronic",5.9,2015-04-06,"Marcus J. Moore","Contributor"
"American Wrestlers","American Wrestlers","Rock","Rock",6.9,2015-04-06,"Ian Cohen","Contributor"
"Various Artists","Next Stop Soweto Vol. 4: Zulu Rock, Afro-Disco & Mbaqanga 1975-1985","","",8.3,2015-04-06,"Joe Tangari","Contributor"
"The Mountain Goats","Beat the Champ","Rock","Rock",6.6,2015-04-06,"Jeremy Gordon","Contributor"
"Michael Rault","Living Daylight","Rock","Rock",7.3,2015-04-03,"Stuart Berman","Contributor"
"The Sonics","This Is the Sonics","Rock","Rock",7.5,2015-04-03,"Jason Heller","Contributor"
"Ludacris","Ludaversal","Rap","Rap",5.3,2015-04-03,"Rawiya Kameir","Contributor"
"The Soft Moon","Deeper","Rock","Rock",7.8,2015-04-03,"T. Cole Rachel","Contributor"
"Lower Dens","Escape From Evil","Rock","Rock",8.3,2015-04-03,"Sasha Geffen","Contributor"
"Yonatan Gat","Director","Rock","Rock",7,2015-04-02,"Paul Thompson","Contributor"
"T-Pain","The Iron Way","Rap","Rap",6.1,2015-04-02,"Matthew Ramirez","Contributor"
"Wale","The Album About Nothing","Rap","Rap",5.4,2015-04-02,"Claire Lobenfeld","Contributor"
"Death Cab for Cutie","Kintsugi","Rock","Rock",5.5,2015-04-02,"Ian Cohen","Contributor"
"Jlin","Dark Energy","Electronic","Electronic",8.5,2015-04-02,"Anupa Mistry","Contributor"
"Disasterpeace","It Follows OST","Experimental","Experimental",7.3,2015-04-01,"Jeremy Gordon","Contributor"
"Faith Healer","Cosmic Troubles","Rock","Rock",7.4,2015-04-01,"Jazz Monroe","Associate Staff Writer"
"Benoît Pioulard","Sonnet","Electronic","Electronic",7.2,2015-04-01,"Nick Neyland","Contributor"
"Jodeci","The Past, the Present, the Future","Pop/R&B","Pop/R&B",7,2015-04-01,"Anupa Mistry","Contributor"
"Godspeed You! Black Emperor","Asunder, Sweet and Other Distress","Rock,Experimental","Rock",7.6,2015-04-01,"Mark Richardson","Contributor"
"Various Artists","Phase IV OST","","",7.4,2015-03-31,"Andy Beta","Contributor"
"Tufthunter","Deep Hits","Rock","Rock",6.9,2015-03-31,"Colin Joyce","Contributor"
"Andrew Hung","Rave Cave EP","Electronic","Electronic",7,2015-03-31,"Abigail Garnett","Contributor"
"Fort Romeau","Insides","Electronic","Electronic",7.5,2015-03-31,"Mark Pytlik","Contributor"
"Death Grips","Jenny Death","Experimental,Rap","Experimental",8.1,2015-03-31,"Andy O'Connor","Contributor"
"Madeon","Adventure","Electronic","Electronic",7.8,2015-03-30,"Corban Goble","Contributor"
"Föllakzoid","III","Rock","Rock",6.5,2015-03-30,"Nick Neyland","Contributor"
"Ryley Walker","Primrose Green","Folk/Country","Folk/Country",6.2,2015-03-30,"Grayson Haver Currin","Contributor"
"The Prodigy","The Day Is My Enemy","Electronic","Electronic",6,2015-03-30,"Philip Sherburne","Contributing Editor"
"Sufjan Stevens","Carrie & Lowell","Folk/Country","Folk/Country",9.3,2015-03-30,"Brandon Stosuy","Contributor"
"Thursday","Waiting","Rock","Rock",6.5,2015-03-27,"Ian Cohen","Contributor"
"Clark","Flame Rave EP","Electronic","Electronic",6.9,2015-03-27,"Nick Neyland","Contributor"
"Ratking","700 Fill EP","Rap","Rap",7.2,2015-03-27,"Craig Jenkins","Contributor"
"Laura Marling","Short Movie","Folk/Country","Folk/Country",7.4,2015-03-27,"Katherine St. Asaph","Contributor"
"Future","56 Nights","Rap","Rap",7.3,2015-03-27,"Sheldon Pearce","Contributing Writer"
"Chilly Gonzales","Chambers","Pop/R&B","Pop/R&B",6.2,2015-03-26,"Brian Howe","Contributor"
"Jesse Malin","New York Before the War","Rock","Rock",6.7,2015-03-26,"Stephen M. Deusner","Contributor"
"Anasazi","Nasty Witch Rock","Metal","Metal",6.5,2015-03-26,"Sam Lefebvre","Contributor"
"Scuba","Claustrophobia","Electronic","Electronic",8.1,2015-03-26,"Philip Sherburne","Contributing Editor"
"Liturgy","The Ark Work","Metal","Metal",6.4,2015-03-26,"Jayson Greene","Contributing Editor"
"The Cribs","For All My Sisters","Rock","Rock",6.7,2015-03-25,"Ian Cohen","Contributor"
"Chastity Belt","Time to Go Home","Rock","Rock",7.6,2015-03-25,"Hazel Cills","Contributor"
"Father","Who's Gonna Get Fucked First?","Rap","Rap",7.7,2015-03-25,"Meaghan Garvey","Contributor"
"Jam City","Dream a Garden","Electronic","Electronic",6.5,2015-03-25,"Philip Sherburne","Contributing Editor"
"Action Bronson","Mr. Wonderful","Rap","Rap",6.3,2015-03-25,"Jordan Sargent","Contributor"
"People of the North","Era of Manifestations","Rock","Rock",7.8,2015-03-24,"Raymond Cummings","Contributor"
"Ilyas Ahmed","I Am All Your Own","Folk/Country","Folk/Country",7.7,2015-03-24,"Grayson Haver Currin","Contributor"
"The Jon Spencer Blues Explosion","Freedom Tower-No Wave Dance Party 2015","Rock","Rock",7,2015-03-24,"Stuart Berman","Contributor"
"Jimmy Whispers","Summer in Pain","Rock","Rock",6.4,2015-03-24,"Sasha Geffen","Contributor"
"Earl Sweatshirt","I Don't Like Shit, I Don't Go Outside","Rap","Rap",8,2015-03-24,"Winston Cook-Wilson","Contributor"
"The Silence","The Silence","Rock","Rock",7.5,2015-03-23,"Ned Raggett","Contributor"
"Stone Jack Jones","Love & Torture","Rock","Rock",6.8,2015-03-23,"Stephen M. Deusner","Contributor"
"The Go! Team","The Scene Between","Rock","Rock",7.2,2015-03-23,"Ian Cohen","Contributor"
"Vetiver","Complete Strangers","Rock","Rock",4.9,2015-03-23,"Grayson Haver Currin","Contributor"
"Courtney Barnett","Sometimes I Sit and Think, and Sometimes I Just Sit","Rock","Rock",8.6,2015-03-23,"Mike Powell","Contributor"
"Etiquette","Reminisce","Rock","Rock",6.7,2015-03-20,"Jamieson Cox","Contributor"
"Andy Kim","It's Decided","Pop/R&B","Pop/R&B",5.9,2015-03-20,"Andrew Gaerig","Contributor"
"The Hotelier","It Never Goes Out","Rock","Rock",7.7,2015-03-20,"Ian Cohen","Contributor"
"Tinashe","Amethyst","Pop/R&B","Pop/R&B",7.1,2015-03-20,"Meaghan Garvey","Contributor"
"Twin Shadow","Eclipse","Rock","Rock",4.9,2015-03-20,"Jayson Greene","Contributing Editor"
"Maxo Kream","Maxo 187","Rap","Rap",6.6,2015-03-19,"Sheldon Pearce","Contributing Writer"
"Wand","Golem","Rock","Rock",7,2015-03-19,"Aaron Leitko","Contributor"
"Palmbomen II","Palmbomen II","Electronic","Electronic",7.3,2015-03-19,"Andy Beta","Contributor"
"Inventions","Maze of Woods","Rock","Rock",7.6,2015-03-19,"Brian Howe","Contributor"
"Kendrick Lamar","To Pimp a Butterfly","Rap","Rap",9.3,2015-03-19,"Craig Jenkins","Contributor"
"Félicia Atkinson","A Readymade Ceremony","Experimental","Experimental",7.7,2015-03-18,"Marc Masters","Contributor"
"Pill","Pill EP","Rock","Rock",7.4,2015-03-18,"Evan Minsker","Deputy News Editor"
"Houndstooth","No News from Home","Rock","Rock",6.9,2015-03-18,"Stephen M. Deusner","Contributor"
"Tree","Trap Genius","Rap","Rap",7.1,2015-03-18,"Winston Cook-Wilson","Contributor"
"Lightning Bolt","Fantasy Empire","Rock","Rock",8,2015-03-18,"Brandon Stosuy","Contributor"
"Glen Hansard","It Was Triumph We Once Proposed…Songs of Jason Molina","Rock","Rock",7.3,2015-03-17,"Stephen M. Deusner","Contributor"
"Rahel","Alkali","Pop/R&B","Pop/R&B",6.8,2015-03-17,"Lawrence Burney","Contributor"
"Laura Welsh","Soft Control","Pop/R&B","Pop/R&B",6.3,2015-03-17,"Maud Deitch","Contributor"
"Ryuichi Sakamoto","Year Book 2005-2014","Electronic","Electronic",7.8,2015-03-17,"Jakob Dorof","Contributor"
"Modest Mouse","Strangers to Ourselves","Rock","Rock",6.4,2015-03-17,"Jayson Greene","Contributing Editor"
"Caïna","Setter of Unseen Snares","Metal","Metal",7.8,2015-03-16,"Grayson Haver Currin","Contributor"
"Pyramids","A Northern Meadow","Experimental","Experimental",8,2015-03-16,"Andy O'Connor","Contributor"
"Two-9","B4FRVR","Rap","Rap",6.5,2015-03-16,"David Turner","Contributor"
"Popol Vuh, Florian Fricke","Kailash","Electronic","Electronic",7.3,2015-03-16,"Nick Neyland","Contributor"
"Tobias Jesso Jr.","Goon","Rock","Rock",8.5,2015-03-16,"Mark Richardson","Contributor"
"White Gzus","Stackin' N Mackin' Vol. 2","Rap","Rap",7.3,2015-03-13,"David Drake","Contributor"
"Lotic","Heterocetera EP","Electronic","Electronic",8,2015-03-13,"Anupa Mistry","Contributor"
"Madonna","Rebel Heart","Pop/R&B","Pop/R&B",5.1,2015-03-13,"Jessica Hopper","Contributor"
"Mo Kolours","How I (Rhythm Love Affair) EP","Rap","Rap",5.8,2015-03-12,"Marcus J. Moore","Contributor"
"Ranger","Where Evil Dwells","Metal","Metal",7.3,2015-03-12,"Andy O'Connor","Contributor"
"ANAMAI","Sallows","Experimental","Experimental",7.1,2015-03-12,"Melody Lau","Contributor"
"Lieutenant","If I Kill This Thing We're All Going to Eat for a Week","","",5.8,2015-03-12,"Stuart Berman","Contributor"
"Various Artists","Original Soundtrack from Season 1 of ""Empire""","","",6.5,2015-03-12,"Craig Jenkins","Contributor"
"JEFF the Brotherhood","Wasted on the Dream","Rock","Rock",5.2,2015-03-11,"Ian Cohen","Contributor"
"Sarah Bethe Nelson","Fast-Moving Clouds","Folk/Country","Folk/Country",7.4,2015-03-11,"Stephen M. Deusner","Contributor"
"Jon Hopkins","Late Night Tales","Electronic","Electronic",7.5,2015-03-11,"Mark Pytlik","Contributor"
"Pearson Sound","Pearson Sound","Electronic","Electronic",8.1,2015-03-11,"Andrew Gaerig","Contributor"
"Heems","Eat Pray Thug","Rap","Rap",6.3,2015-03-11,"Jayson Greene","Contributing Editor"
"Black Cilice","Mysteries","Metal","Metal",8,2015-03-10,"Grayson Haver Currin","Contributor"
"Yowler","The Offer","Rock","Rock",8,2015-03-10,"Sasha Geffen","Contributor"
"Eskmo","SOL","Electronic","Electronic",6.4,2015-03-10,"Nate Patrin","Contributor"
"Young Guv","Ripe 4 Luv","Rock","Rock",7.5,2015-03-10,"Evan Rytlewski","Contributor"
"Cannibal Ox","Blade of the Ronin","Rap","Rap",6.7,2015-03-10,"Winston Cook-Wilson","Contributor"
"OG Maco","15 EP","Rap","Rap",5.9,2015-03-09,"Sheldon Pearce","Contributing Writer"
"Crypt Sermon","Out of the Garden","Metal","Metal",7.5,2015-03-09,"Andy O'Connor","Contributor"
"Swervedriver","I Wasn't Born to Lose You","Rock","Rock",7,2015-03-09,"T. Cole Rachel","Contributor"
"Oren Ambarchi, Jim O’Rourke","Behold","Experimental","Experimental",7.6,2015-03-09,"Philip Sherburne","Contributing Editor"
"Matthew E. White","Fresh Blood","Rock","Rock",6.7,2015-03-09,"Marc Hogan","Senior Staff Writer"
"Tom Brosseau","Perfect Abandon","Folk/Country","Folk/Country",7,2015-03-06,"Jeremy Gordon","Contributor"
"The Black Ryder","The Door Behind the Door","Rock","Rock",6,2015-03-06,"Mark Richardson","Contributor"
"Various Artists","Ultra-High Frequencies: The Chicago Party","","",7.5,2015-03-06,"Barry Walters","Contributor"
"Dick Diver","Melbourne, Florida","Rock","Rock",7.8,2015-03-06,"Jake Cleland","Contributor"
"Will Butler","Policy","Rock","Rock",6.6,2015-03-06,"Stuart Berman","Contributor"
"Eartheater","Metalepsis","Experimental","Experimental",7.5,2015-03-05,"Colin Joyce","Contributor"
"Crookers","Sixteen Chapel","Electronic","Electronic",5.5,2015-03-05,"Philip Sherburne","Contributing Editor"
"Mastery","Valis","Metal","Metal",8,2015-03-05,"Andy O'Connor","Contributor"
"Radical Dads","Universal Coolers","Rock","Rock",7.2,2015-03-05,"Tess Duncan","Contributor"
"Various Artists","Skrillex and Diplo Present Jack Ü","","",6.8,2015-03-05,"Corban Goble","Contributor"
"Rima Kato","Faintly Lit","Rock","Rock",6.7,2015-03-04,"Patrick St. Michel","Contributor"
"Sam Prekop","The Republic","Electronic","Electronic",7.4,2015-03-04,"Mark Richardson","Contributor"
"Moon Duo","Shadow of the Sun","Rock","Rock",6.6,2015-03-04,"Maud Deitch","Contributor"
"Lady Lamb the Beekeeper","After","Rock","Rock",7.4,2015-03-04,"Sasha Geffen","Contributor"
"Of Montreal","Aureate Gloom","Rock","Rock",7,2015-03-04,"Jeremy D. Larson","Senior Editor"
"David Borden","Music For Amplified Keyboard Instruments","Experimental","Experimental",8,2015-03-03,"Aaron Leitko","Contributor"
"Estelle","True Romance","Rock","Rock",6.9,2015-03-03,"Molly Beauchemin","Contributor"
"Thin Lizzy","Shades of a Blue Orphanage","Rock","Rock",6.3,2015-03-03,"Stuart Berman","Contributor"
"Sannhet","Revisionist","Metal","Metal",8.1,2015-03-03,"Grayson Haver Currin","Contributor"
"Levon Vincent","Levon Vincent","Electronic","Electronic",8.3,2015-03-03,"Philip Sherburne","Contributing Editor"
"Pile","You're Better Than This","Rock","Rock",7.4,2015-03-02,"Paul Thompson","Contributor"
"EULA","Wool Sucking","Rock","Rock",7.2,2015-03-02,"Stuart Berman","Contributor"
"Lead Belly","Lead Belly: The Smithsonian Folkways Collection","Folk/Country","Folk/Country",9,2015-03-02,"Stephen M. Deusner","Contributor"
"Noel Gallagher's High Flying Birds","Chasing Yesterday","Rock","Rock",5.9,2015-03-02,"Stuart Berman","Contributor"
"Purity Ring","another eternity","Electronic","Electronic",6.6,2015-03-02,"Ian Cohen","Contributor"
"An Autumn for Crippled Children","The Long Goodbye","","",7.4,2015-02-27,"Andy O'Connor","Contributor"
"Dutch Uncles","O Shudder","Rock","Rock",7,2015-02-27,"Jazz Monroe","Associate Staff Writer"
"MNDR, Sweet Valley","Dance 4 a Dollar EP","Electronic","Electronic",5.9,2015-02-27,"Claire Lobenfeld","Contributor"
"Parquet Courts","Live at Third Man Records","Rock","Rock",7.5,2015-02-27,"Stuart Berman","Contributor"
"Chief Keef","Sorry 4 the Weight","Rap","Rap",7.1,2015-02-27,"Jayson Greene","Contributing Editor"
"The Pop Group","Citizen Zombie","Rock","Rock",2.4,2015-02-26,"Stephen M. Deusner","Contributor"
"Pelican","The Cliff EP","Metal","Metal",6.7,2015-02-26,"Zoe Camp","Contributor"
"Gang of Four","What Happens Next","Rock","Rock",5.3,2015-02-26,"Stuart Berman","Contributor"
"Hodgy","Dena Tape 2","Rap","Rap",5.7,2015-02-26,"Jonah Bromwich","Contributor"
"Future Brown","Future Brown","Electronic","Electronic",6.5,2015-02-26,"Meaghan Garvey","Contributor"
"Steve Earle & the Dukes","Terraplane","Folk/Country","Folk/Country",6.3,2015-02-25,"Stephen M. Deusner","Contributor"
"Tica Douglas","Joey","Rock","Rock",7,2015-02-25,"Molly Beauchemin","Contributor"
"THEESatisfaction","EarthEE","Rock","Rock",6.8,2015-02-25,"Safy-Hallan Farah","Contributor"
"Black Twig Pickers, Steve Gunn","Seasonal Hire","Folk/Country","Folk/Country",7.4,2015-02-25,"Stephen M. Deusner","Contributor"
"Big Sean","Dark Sky Paradise","Rap","Rap",7.1,2015-02-25,"Jordan Sargent","Contributor"
"Colleen Green","I Want to Grow Up","Rock","Rock",7.4,2015-02-24,"Jes Skolnik","Contributor"
"Diet Cig","Over Easy EP","Rock","Rock",6.1,2015-02-24,"Jamieson Cox","Contributor"
"Eternal Tapestry","Wild Strawberries","Rock","Rock",6.2,2015-02-24,"Nick Neyland","Contributor"
"Iron & Wine","Archive Series Volume No. 1","Folk/Country","Folk/Country",7.2,2015-02-24,"Stephen M. Deusner","Contributor"
"Led Zeppelin","Led Zeppelin IV","Rock","Rock",9.1,2015-02-24,"Mark Richardson","Contributor"
"Nadastrom","Nadastrom","Electronic","Electronic",7.4,2015-02-23,"Marcus J. Moore","Contributor"
"Ibeyi","Ibeyi","Global","Global",7.4,2015-02-23,"Minna Zhou","Contributor"
"Screaming Females","Rose Mountain","Rock","Rock",6.7,2015-02-23,"Sasha Geffen","Contributor"
"Torche","Restarter","Metal","Metal",7.9,2015-02-23,"Grayson Haver Currin","Contributor"
"Dan Deacon","Gliss Riffer","Electronic","Electronic",7.2,2015-02-23,"Winston Cook-Wilson","Contributor"
"The Wave Pictures","Great Big Flamingo Burning Moon","Folk/Country","Folk/Country",5.9,2015-02-20,"Jazz Monroe","Associate Staff Writer"
"Tropics","Rapture","Electronic","Electronic",6.7,2015-02-20,"Marcus J. Moore","Contributor"
"Twin River","Should the Light Go Out","Rock","Rock",6.9,2015-02-20,"Jayson Greene","Contributing Editor"
"The Juliana Hatfield Three","Whatever, My Love","Rock","Rock",6.1,2015-02-20,"Brandon Stosuy","Contributor"
"The King Khan & BBQ Show","Bad News Boys","Rock","Rock",7,2015-02-20,"Stuart Berman","Contributor"
"Pika","Ryu No Sumika","Rock","Rock",7,2015-02-19,"Patrick St. Michel","Contributor"
"DJ Sotofett","Drippin' for a Tripp","Electronic","Electronic",7.9,2015-02-19,"Andy Beta","Contributor"
"Kate Pierson","Guitars and Microphones","Rock","Rock",6.4,2015-02-19,"Jamieson Cox","Contributor"
"Various Artists","Punk 45: Extermination Nights in the Sixth City","","",8,2015-02-19,"Jason Heller","Contributor"
"Phosphorescent","Live at the Music Hall","Rock","Rock",6,2015-02-19,"Grayson Haver Currin","Contributor"
"Grooms","Comb the Feelings Through Your Hair","Rock","Rock",7.3,2015-02-18,"Stuart Berman","Contributor"
"Carter Tutti","Carter Tutti Plays Chris & Cosey","Experimental","Experimental",7,2015-02-18,"Nick Neyland","Contributor"
"Felix K","Tragedy of the Commons EP","Electronic","Electronic",7.4,2015-02-18,"Colin Joyce","Contributor"
"Krill","A Distant Fist Unclenching","Rock","Rock",6.9,2015-02-18,"Zach Kelly","Contributor"
"José González","Vestiges & Claws","Rock","Rock",6.6,2015-02-18,"Ian Cohen","Contributor"
"Damon & Naomi","Fortune","Rock","Rock",7,2015-02-17,"Matthew Murphy","Contributor"
"Axis: Sova","Early Surf","Rock","Rock",6.6,2015-02-17,"Evan Minsker","Deputy News Editor"
"Dan Lissvik","Shuvit! EP","Electronic","Electronic",6.5,2015-02-17,"David Drake","Contributor"
"The Staple Singers","Freedom Highway Complete","Rock","Rock",8.7,2015-02-17,"Stephen M. Deusner","Contributor"
"Drake","If You're Reading This It's Too Late","Rap","Rap",8.3,2015-02-17,"Craig Jenkins","Contributor"
"Beat Spacek","Modern Streets","Electronic","Electronic",6.7,2015-02-16,"Andy Beta","Contributor"
"S. Carey","Supermoon EP","Rock","Rock",4.8,2015-02-16,"Evan Rytlewski","Contributor"
"Joker","The Mainframe","Electronic","Electronic",6.8,2015-02-16,"Nate Patrin","Contributor"
"The Amazing","Picture You","Rock","Rock",7.5,2015-02-16,"Ian Cohen","Contributor"
"Ghostface Killah, BADBADNOTGOOD","Sour Soul","Rap,Jazz","Rap",6.2,2015-02-16,"Nate Patrin","Contributor"
"The Supreme Jubilees","It'll All Be Over","Pop/R&B","Pop/R&B",7.4,2015-02-13,"Andy Beta","Contributor"
"Sir Richard Bishop","Tangier Sessions","Rock","Rock",7.5,2015-02-13,"Winston Cook-Wilson","Contributor"
"A Place to Bury Strangers","Transfixiation","Rock","Rock",5.5,2015-02-13,"Ian Cohen","Contributor"
"Anthony Naples","Body Pill","Electronic","Electronic",7.8,2015-02-13,"Philip Sherburne","Contributing Editor"
"Hundred Waters","The Moon Rang Like a Bell (Remixed)","Electronic","Electronic",6,2015-02-13,"Mark Richardson","Contributor"
